label,text,answer
LITERATURE,"""This book by Virginia Woolf inspired Michael Cunningham's novel """"The Hours""""""",Mrs. Dalloway
GEOGRAPHY,"""The """"amiable"""" former name of the Tongan archipelago""",the Friendly Islands
GEOGRAPHY,"""The Rhine Valley occupies one-third of this 62-square-mile country; the Alps cover the rest""",Liechtenstein
MUSIC,"""PBS fans know that """"Evening at Pops"""" refers to this city's Pops""",Boston
LITERATURE,"""In 1996 he simultaneously published """"The Regulators"""" as Richard Bachman & """"Desperation"""" under this name""",Stephen King
HISTORY,"""In 1843 Congress allocated $30,000 to string one between Baltimore & Washington; it was completed in 1844""",a telegraph wire
SCIENCE,"According to Chuck Jones, whenever possible, this force of nature was to be Wile E. Coyote's greatest enemy",gravity
MUSIC,"This 1940 Disney film featured the music of Bach, Beethoven, Stravinsky, Schubert & Mussorgsky",Fantasia
SCIENCE,The Babylonians kept abreast of the times using a form of this instrument seen here:,Sundial
HISTORY,"Dying in 2009 at age 113, British WWI vet Henry Allingham was the last original surviving member of this group, formed 1918",the Royal Air Force
SCIENCE,-273 Celsius,absolute zero
MUSIC,"Pehaps the greatest violinist ever, this Italian could play a whole piece on just one string",Niccolo Paganini
MUSIC,"""Blink-182: """"That's about the time she walked away from me, nobody likes you when you're ___""""""",23
MUSIC,Rolf Gruber & Mother Abbess of Nonnberg Abbey,The Sound of Music
MUSIC,"""In this song, David Bowie instructs, """"Put on your red shoes and dance the blues""""""",Let's Dance
LITERATURE,"""Longfellow wrote, """"Tell me not"""" that """"life is but an empty"""" this""",dream
SCIENCE,"""His 1543 book """"Concerning the Revolutions of the Celestial Spheres"""" started an astronomical revolution""",Nicholas Copernicus
MUSIC,"Baby, boudoir & concert are 3 sizes of this type of piano",grand piano
MUSIC,"""Welcome MCR, this alt-rock group, to """"The Black Parade"""", its 2006 concept album""",My Chemical Romance
SCIENCE,Iron filings are often used to demonstrate the presence of this field,magnetic field
HISTORY,"By 1942 FDR had appointed 7 new men to this body: it took a while, but he got the packing he had wanted",the Supreme Court
GEOGRAPHY,"""Rebels took the post office in this city during their """"rising"""" on Easter Monday, 1916""",Dublin
SCIENCE,An institute of physical sciences at the University of Copenhagen is named for this physicist,(Niels) Bohr
SCIENCE,"This adjective describes organisms purposely grown in a petri disk, whether they like opera or not",cultured
GEOGRAPHY,"To accuse someone of being dopey, crude or just unevolved, you can call him this, from a valley near Dusseldorf",a Neanderthal
HISTORY,"""Founded in 1702, Mobile in this state became the """"City of Six Flags"""" (but it doesn't have a Six Flags theme park)""",Alabama
HISTORY,"""Montezuma's real revenge: a 1741 British expedition to conquer Mexico was devastated by this """"colorful"""" disease""",yellow fever
HISTORY,The revolutionary Fenians invaded this British overseas dominion in 1866 & 1870,Canada
LITERATURE,"""In a poem he named himself Cadenus, an anagram of Decanus, or """"Dean""""""",Jonathan Swift
MUSIC,"""This man's aria """"Ombra Mai Fu"""" from """"Xerxes"""" is not as famous as his """"Hallelujah Chorus""""""",Handel
LITERATURE,This loving relative who takes care of Tom Sawyer was inspired by Mark Twain's own mother,Aunt Polly
HISTORY,Democracy And Social Ethics is a 1902 book by this founder of Hull House,Jane Addams
SCIENCE,The eggs of the Japanese species of this small game bird were studied on the Mir Space Station,quail
SCIENCE,"""C<sub>2</sub>H<sub>5</sub>, it's found before """"alcohol"""" & is a homophone of a female first name""",ethyl
SCIENCE,"With 4 patents in 1933, Edwin H. Armstrong is credited as the sole inventor of this radio system",FM (Frequency Modulation)
MUSIC,Leonine Monarch,The Lion King
LITERATURE,"""A rundown Mexican hotel is the setting for """"The Night of the Iguana"""", a play by this writer""",Tennessee Williams
GEOGRAPHY,"The highest point in this mountain range is Pico de Aneto, near Spain's northern border",Pyrenees
MUSIC,"""French for """"study"""", it's a musical piece intended to help students improve their technique""",Etude
MUSIC,In 1980 Devo had its only Top 40 hit with this song,Whip It
MUSIC,Parrotheads,Jimmy Buffett
HISTORY,The city-states of Sidon & Tyre were olocated in this Mediterranean region now occupied mostly by Lebanon,Phoenicia
LITERATURE,"""This Russian-born author & scientist who died in 1992 said, """"I do not fear computers.  I fear the lack of them""""""",Isaac Asimov
GEOGRAPHY,This Venezuelan river empties into the Atlantic Ocean near Trinidad,the Orinoco
HISTORY,This Alexandrian added latitude & longitude lines to his maps around 151 A.D.,Ptolemy
MUSIC,Barbara Cook won a Tony for playing Marian the Librarian in the original production of this musical,The Music Man
MUSIC,...& the Mechanics,Mike
HISTORY,"Named for the modest wife of Pepin the Short, a bertha is a wide one of these blouse features",a collar
HISTORY,"""Rumor has it this """"Great"""" Russian empress had insomnia; with all those lovers, who could sleep?""",Catherine the Great
MUSIC,The double bassoon is also known by this name,Contrabassoon
MUSIC,"""Elton John & Kiki Dee had a No. 1 hit with """"Don't Go"""" doing this""",Breaking My Heart
LITERATURE,"In this 17th C. novel, Sancho Panza is promised, & eventually gets, the governorship of his own island",Don Quixote
LITERATURE,"""Alexandra Ripley read this novel 6 times in preparation for writing its sequel, """"Scarlett""""""",Gone with the Wind
HISTORY,"""This first host of """"The Tonight Show"""" emceed """"Meeting of Minds"""" for PBS in 1977""",Steve Allen
MUSIC,"""Poetically, tones are sometimes described adjectivally as this, from the Latin for """"sweet""""""",dulcet
SCIENCE,"2 colors called this aren't praising each other, they're directly opposite each other on a color wheel",Complementary colors
MUSIC,"""It's where I'm sitting """"just rolling along, just rolling along""""""",on top of the world
HISTORY,"""On January 18, 1871 the German Empire's Wilhelm I received this title which means """"emperor""""""",Kaiser
SCIENCE,"A grub is this soft, thick stage of metamorphosis of flies, wasps & beetles",larva
SCIENCE,"""In geometry it's a quadrilateral with 2 parallel sides; in anatomy, it's the smallest wrist bone""",Trapezoid
HISTORY,"""As a child, she was captured by the Hadatsahs and given the name which means """"bird woman""""""",Sacajawea
HISTORY,"""Chloe, I need a Jan. 24, year 41 location on this Roman emperor, aka """"Little Boot""""... cancel that; he's dead""",Caligula
MUSIC,"""But don't forget who's takin' you home and in whose arms you're gonna be, so darli","The Last Dance For Me"""""""
GEOGRAPHY,There are first-person accounts of this volcano's eruption in 1767 (as there had been in 79 A.D.),Vesuvius
MUSIC,"Treat Williams, Gary Sandy & Jim Belushi have all played the pirate king in this operetta",The Pirates of Penzance
SCIENCE,"""The Hubble Space Telescope was deployed by this space shuttle; 3 years later the Endeavour fixed its mirror""",Discovery
